ReportRunOn,MemberID,IntervalUnit,IntervalQuantity,LimitUnit,LimitQuantity,EmailName,EmailSubject,JobStartTime,LastSendTime
10/25/2018 13:45,7237404,Hours,1,Hours,48,AM - 180508 - Intro to Fall Comm - Message 2,ANON2_HEADER2,5/8/2018 17:00,5/8/2018 17:00
,,,,,,,,,
IntervalStartTime,Sent,Bounced,UniqueOpened,Opened,UniqueClicked,Clicked,Unsubscribed,,
5/8/2018 17:00,2470,1,611,981,226,478,0,,
5/8/2018 18:00,0,0,243,549,72,141,0,,
5/8/2018 19:00,0,0,156,425,63,121,0,,
5/8/2018 20:00,0,0,129,360,42,100,0,,
5/8/2018 21:00,0,0,88,303,34,76,0,,
5/8/2018 22:00,0,0,68,226,24,62,0,,
5/8/2018 23:00,0,0,38,126,23,43,0,,
5/9/2018 0:00,0,0,23,74,5,11,0,,
5/9/2018 1:00,0,0,13,56,3,4,0,,
5/9/2018 2:00,0,0,8,40,4,11,0,,
5/9/2018 3:00,0,0,7,19,0,2,0,,
5/9/2018 4:00,0,0,7,33,3,5,0,,
5/9/2018 5:00,0,0,8,37,5,11,0,,
5/9/2018 6:00,0,0,16,73,11,20,0,,
5/9/2018 7:00,0,0,25,96,14,37,0,,
5/9/2018 8:00,0,0,28,88,18,37,0,,
5/9/2018 9:00,0,0,26,119,14,30,0,,
5/9/2018 10:00,0,0,22,114,18,39,0,,
5/9/2018 11:00,0,0,17,111,11,21,0,,
5/9/2018 12:00,0,0,15,113,15,34,0,,
5/9/2018 13:00,0,0,15,98,12,32,0,,
5/9/2018 14:00,0,0,14,128,11,38,0,,
5/9/2018 15:00,0,0,10,65,8,20,0,,
5/9/2018 16:00,0,0,10,95,8,30,0,,
5/9/2018 17:00,0,0,8,57,5,21,0,,
5/9/2018 18:00,0,0,8,68,4,7,0,,
5/9/2018 19:00,0,0,10,73,5,18,0,,
5/9/2018 20:00,0,0,9,76,8,23,0,,
5/9/2018 21:00,0,0,13,114,11,31,0,,
5/9/2018 22:00,0,0,12,77,10,23,0,,
5/9/2018 23:00,0,0,10,39,4,8,0,,
5/10/2018 0:00,0,0,2,26,0,4,0,,
5/10/2018 1:00,0,0,1,16,1,5,0,,
5/10/2018 2:00,0,0,1,21,1,8,0,,
5/10/2018 3:00,0,0,0,5,0,7,0,,
5/10/2018 4:00,0,0,3,6,2,5,0,,
5/10/2018 5:00,0,0,0,7,0,0,0,,
5/10/2018 6:00,0,0,3,17,2,3,0,,
5/10/2018 7:00,0,0,4,46,2,15,0,,
5/10/2018 8:00,0,0,4,54,3,10,0,,
5/10/2018 9:00,0,0,5,51,6,13,0,,
5/10/2018 10:00,0,0,6,62,8,23,0,,
5/10/2018 11:00,0,0,3,32,4,8,0,,
5/10/2018 12:00,0,0,4,46,0,4,0,,
5/10/2018 13:00,0,0,4,57,2,8,0,,
5/10/2018 14:00,0,0,1,41,3,10,0,,
5/10/2018 15:00,0,0,2,27,1,6,0,,
5/10/2018 16:00,0,0,1,25,1,5,0,,
5/10/2018 17:00,0,0,7,69,4,18,0,,
