ReportRunOn,MemberID,IntervalUnit,IntervalQuantity,LimitUnit,LimitQuantity,EmailName,EmailSubject,JobStartTime,LastSendTime
10/25/2018 16:08,7237404,Hours,1,Hours,48,AM - 180726 - Mentorship Email - Message 19,ANON3_HEADER3,7/27/2018 7:00,7/27/2018 7:00
,,,,,,,,,
IntervalStartTime,Sent,Bounced,UniqueOpened,Opened,UniqueClicked,Clicked,Unsubscribed,,
7/27/2018 7:00,2942,2,142,400,13,33,0,,
7/27/2018 8:00,0,0,224,558,32,73,0,,
7/27/2018 9:00,0,0,156,405,28,83,0,,
7/27/2018 10:00,0,0,126,358,20,53,0,,
7/27/2018 11:00,0,0,116,329,22,63,0,,
7/27/2018 12:00,0,0,90,236,10,33,0,,
7/27/2018 13:00,0,0,56,173,4,11,0,,
7/27/2018 14:00,0,0,30,94,9,19,0,,
7/27/2018 15:00,0,0,46,137,9,18,0,,
7/27/2018 16:00,0,0,31,101,4,13,0,,
7/27/2018 17:00,0,0,28,84,3,8,0,,
7/27/2018 18:00,0,0,21,100,9,30,0,,
7/27/2018 19:00,0,0,13,70,2,10,0,,
7/27/2018 20:00,0,0,8,30,5,11,0,,
7/27/2018 21:00,0,0,19,68,5,11,0,,
7/27/2018 22:00,0,0,11,43,4,9,0,,
7/27/2018 23:00,0,0,11,41,4,9,0,,
7/28/2018 0:00,0,0,8,39,1,3,0,,
7/28/2018 1:00,0,0,3,20,1,1,0,,
7/28/2018 2:00,0,0,4,14,0,0,0,,
7/28/2018 3:00,0,0,3,6,0,0,0,,
7/28/2018 4:00,0,0,5,12,1,2,0,,
7/28/2018 5:00,0,0,1,2,0,0,0,,
7/28/2018 6:00,0,0,1,5,1,1,0,,
7/28/2018 7:00,0,0,1,3,0,0,0,,
7/28/2018 8:00,0,0,6,15,2,3,0,,
7/28/2018 9:00,0,0,5,18,4,7,0,,
7/28/2018 10:00,0,0,8,34,2,10,0,,
7/28/2018 11:00,0,0,6,43,3,12,0,,
7/28/2018 12:00,0,0,6,27,3,12,0,,
7/28/2018 13:00,0,0,11,36,4,8,0,,
7/28/2018 14:00,0,0,13,40,2,8,0,,
7/28/2018 15:00,0,0,7,18,3,9,0,,
7/28/2018 16:00,0,0,8,33,1,1,0,,
7/28/2018 17:00,0,0,10,24,1,1,0,,
7/28/2018 18:00,0,0,6,21,1,3,0,,
7/28/2018 19:00,0,0,6,26,4,9,0,,
7/28/2018 20:00,0,0,1,9,0,2,0,,
7/28/2018 21:00,0,0,4,15,0,0,0,,
7/28/2018 22:00,0,0,3,19,3,4,0,,
7/28/2018 23:00,0,0,5,13,0,0,0,,
7/29/2018 0:00,0,0,2,14,0,0,0,,
7/29/2018 1:00,0,0,1,12,0,0,0,,
7/29/2018 2:00,0,0,0,3,1,4,0,,
7/29/2018 3:00,0,0,1,4,0,0,0,,
7/29/2018 4:00,0,0,0,3,1,2,0,,
7/29/2018 5:00,0,0,0,2,1,6,0,,
7/29/2018 6:00,0,0,1,3,0,0,0,,
7/29/2018 7:00,0,0,0,2,0,0,0,,
